Time,VRAM_Usage
1686584907.5739837,217.0
1686584908.577288,225.6171875
1686584909.580104,307.6171875
1686584910.5826318,329.6171875
1686584911.585466,329.6171875
1686584912.6005712,329.6171875
1686584913.619731,329.6171875
1686584914.6308918,329.6171875
1686584915.63433,329.6171875
1686584916.6371179,329.6171875
1686584917.64029,329.6171875
1686584918.6430457,329.6171875
1686584919.645783,329.6171875
1686584920.6529229,329.6171875
1686584921.6556334,329.6171875
1686584922.658165,329.6171875
1686584923.660551,329.6171875
1686584924.6635914,329.6171875
1686584925.6659365,329.6171875
1686584926.6687226,329.6171875
1686584927.6720347,329.6171875
1686584928.6739633,329.6171875
1686584929.6770568,329.6171875
1686584930.6927166,329.6171875
1686584931.7021537,329.6171875
1686584932.7040658,329.6171875
1686584933.7082517,329.6171875
1686584934.7108731,329.6171875
1686584935.7134345,329.6171875
1686584936.7158098,329.6171875
1686584937.718652,329.6171875
1686584938.7215104,329.6171875
1686584939.7241817,329.6171875
1686584940.7264626,329.6171875
1686584941.7299042,329.6171875
1686584942.7336686,329.6171875
1686584943.7356074,329.6171875
1686584944.741386,329.6171875
1686584945.7440093,329.6171875
1686584946.7486858,329.6171875
1686584947.7519457,329.6171875
1686584948.7541933,329.6171875
1686584949.7570276,329.6171875
1686584950.760276,329.6171875
1686584951.7650928,329.6171875
1686584952.7684603,329.6171875
1686584953.7709274,329.6171875
1686584954.7822459,329.6171875
1686584955.7869697,329.6171875
1686584956.7898912,329.6171875
1686584957.7930665,329.6171875
1686584958.7956367,329.6171875
1686584959.7985003,329.6171875
1686584960.8011727,329.6171875
